Device:	rrqm/s	wrqm/s	r/s	w/s	rkB/s	wkB/s	avgrq-sz	avgqu-sz	await	r_await	w_await	svctm	%util
sda	0.00	0.00	43.00	18.00	364.00	88.00	14.82	0.07	1.11	1.40	0.44	1.11	6.80
sda	0.00	30.00	126.00	4.00	1248.00	136.00	21.29	0.33	2.52	2.35	8.00	1.91	24.80
sda	0.00	0.00	258.00	0.00	4688.00	0.00	36.34	2.57	9.95	9.95	0.00	1.88	48.40
sda	0.00	0.00	47.00	0.00	1144.00	0.00	48.68	0.17	3.66	3.66	0.00	1.79	8.40
sda	0.00	0.00	206.00	0.00	4896.00	0.00	47.53	1.16	5.63	5.63	0.00	1.38	28.40
sda	0.00	0.00	323.00	0.00	9408.00	0.00	58.25	1.51	4.69	4.69	0.00	1.49	48.00
sda	1.00	13.00	167.00	5.00	6144.00	96.00	72.56	1.46	8.37	8.24	12.80	2.05	35.20
sda	0.00	0.00	155.00	1.00	4832.00	4.00	62.00	0.49	3.23	2.99	40.00	1.95	30.40
sda	0.00	0.00	179.00	0.00	4864.00	0.00	54.35	1.14	6.37	6.37	0.00	2.28	40.80
sda	0.00	0.00	146.00	0.00	4272.00	0.00	58.52	0.73	4.99	4.99	0.00	2.16	31.60
sda	0.00	0.00	127.00	0.00	3840.00	0.00	60.47	0.43	3.40	3.40	0.00	1.83	23.20
sda	0.00	0.00	148.00	0.00	4352.00	0.00	58.81	0.97	6.57	6.57	0.00	2.43	36.00
sda	0.00	6.00	150.00	2.00	3360.00	32.00	44.63	0.68	4.50	4.40	12.00	2.47	37.60
sda	0.00	0.00	134.00	0.00	3680.00	0.00	54.93	0.57	4.21	4.21	0.00	2.27	30.40
sda	0.00	0.00	128.00	0.00	3232.00	0.00	50.50	0.50	3.94	3.94	0.00	2.22	28.40
sda	0.00	0.00	77.00	0.00	2512.00	0.00	65.25	0.38	4.99	4.99	0.00	2.18	16.80
sda	0.00	0.00	122.00	0.00	3568.00	0.00	58.49	0.53	4.36	4.36	0.00	2.07	25.20
sda	0.00	2.00	108.00	2.00	3008.00	16.00	54.98	0.49	4.47	4.33	12.00	2.80	30.80
sda	0.00	0.00	108.91	0.00	3215.84	0.00	59.05	0.40	3.64	3.64	0.00	1.60	17.43
sda	0.00	0.00	85.00	0.00	2352.00	0.00	55.34	0.34	4.00	4.00	0.00	2.07	17.60
sda	0.00	0.00	111.00	0.00	3376.00	0.00	60.83	0.36	3.24	3.24	0.00	2.27	25.20
sda	0.00	0.00	51.00	0.00	1872.00	0.00	73.41	0.14	2.82	2.82	0.00	1.96	10.00
sda	0.00	2.00	0.00	2.00	0.00	16.00	16.00	0.02	10.00	0.00	10.00	10.00	2.00
sda	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
