Device:	rrqm/s	wrqm/s	r/s	w/s	rkB/s	wkB/s	avgrq-sz	avgqu-sz	await	r_await	w_await	svctm	%util
sda	0	0	43	18	364	88	14.82	0.07	1.11	1.4	0.44	1.11	6.8
sda	0	30	126	4	1248	136	40	0.33	2.52	2.35	8	1.91	24.8
sda	0	0	258	0	4688	0	40	2.57	9.95	9.95	0	1.88	48.4
sda	0	0	47	0	1144	0	40	0.17	3.66	3.66	0	1.79	8.4
sda	0	0	206	0	4896	0	40	1.16	5.63	5.63	0	1.38	28.4
sda	0	0	323	0	9408	0	40	1.51	4.69	4.69	0	1.49	48
sda	1	13	167	5	6144	96	40	1.46	8.37	8.24	12.8	2.05	35.2
sda	0	0	155	1	4832	4	40	0.49	3.23	2.99	40	1.95	30.4
sda	0	0	179	0	4864	0	40	1.14	6.37	6.37	0	2.28	40.8
sda	0	0	146	0	4272	0	40	0.73	4.99	4.99	0	2.16	31.6
sda	0	0	127	0	3840	0	40	0.43	3.4	3.4	0	1.83	23.2
sda	0	0	148	0	4352	0	40	0.97	6.57	6.57	0	2.43	36
sda	0	6	150	2	3360	32	40	0.68	4.5	4.4	12	2.47	37.6
sda	0	0	134	0	3680	0	40	0.57	4.21	4.21	0	2.27	30.4
sda	0	0	128	0	3232	0	40	0.5	3.94	3.94	0	2.22	28.4
sda	0	0	77	0	2512	0	40	0.38	4.99	4.99	0	2.18	16.8
sda	0	0	122	0	3568	0	40	0.53	4.36	4.36	0	2.07	25.2
sda	0	2	108	2	3008	16	40	0.49	4.47	4.33	12	2.8	30.8
sda	0	0	108.91	0	3215.84	0	40	0.4	3.64	3.64	0	1.6	17.43
sda	0	0	85	0	2352	0	40	0.34	4	4	0	2.07	17.6
sda	0	0	111	0	3376	0	40	0.36	3.24	3.24	0	2.27	25.2
sda	0	0	51	0	1872	0	40	0.14	2.82	2.82	0	1.96	10
sda	0	2	0	2	0	16	40	0.02	10	0	10	10	2
sda	0	0	0	0	0	0	40	0	0	0	0	0	0
sda	0	0	54	0	2016	0	40	1.41	25.78	25.78	0	4	21.6
sda	0	0	82	0	2400	0	40	0.87	10.83	10.83	0	2.39	19.6
sda	0	0	82	0	2176	0	40	0.2	2.49	2.49	0	1.9	15.6
sda	0	2	85	2	2032	16	40	0.39	4.46	4.24	14	2.67	23.2
sda	0	0	105	0	3104	0	40	0.29	2.74	2.74	0	1.79	18.8
sda	0	0	69	1	2176	20	40	0.24	3.49	3.54	0	2.34	16.4
sda	0	0	86	0	2800	0	40	0.29	3.21	3.21	0	1.91	16.4
sda	0	0	69	0	2048	0	40	0.21	3.25	3.25	0	2.2	15.2
sda	0	4	54	2	1792	24	40	0.22	4	3.63	14	2.5	14
sda	0	0	57	0	1424	0	40	0.13	2.25	2.25	0	1.82	10.4
sda	0	2	65	38	2100	168	40	0.26	2.52	3.02	1.68	1.44	14.8
sda	0	0	132	0	3664	0	40	0.6	4.55	4.55	0	2.55	33.6
sda	0	0	215	0	5904	0	40	1.7	7.74	7.74	0	2.77	59.6
sda	0	8	185	2	4944	40	40	2.02	10.97	10.72	34	2.65	49.6
sda	0	0	184	0	5424	0	40	0.94	5.09	5.09	0	1.87	34.4
sda	0	0	155	0	4544	0	40	0.61	3.92	3.92	0	1.86	28.8
sda	0	0	157	0	4368	0	40	1.44	9.17	9.17	0	2.57	40.4
sda	0	0	129	0	3968	0	40	0.94	7.29	7.29	0	1.92	24.8
sda	0	2	127	2	3568	16	40	0.66	5.05	4.94	12	2.51	32.4
sda	0	0	101	0	3552	0	40	0.66	6.57	6.57	0	2.46	24.8
sda	0	0	133	0	4224	0	40	0.51	3.82	3.82	0	1.65	22
sda	0	0	98	0	3024	0	40	0.56	5.8	5.8	0	3.1	30.4
sda	0	0	115	0	3504	0	40	1.1	9.53	9.53	0	2.33	26.8
sda	0	2	81	2	3056	16	40	0.43	5.16	4.99	12	2.65	22
sda	0	0	96	0	2560	0	40	0.28	3	3	0	2.12	20.4
sda	0	0	99	0	2768	0	40	0.51	5.17	5.17	0	2.71	26.8
sda	0	0	97	0	3024	0	40	0.28	2.93	2.93	0	1.4	13.6
sda	0	0	78	0	2384	0	40	0.21	2.72	2.72	0	1.9	14.8
sda	0	2	59	2	1632	16	40	0.23	3.8	3.46	14	2.69	16.4
sda	0	0	106	0	2912	0	40	0.5	4.53	4.53	0	2.34	24.8
sda	0	0	89	0	2640	0	40	0.38	4.58	4.58	0	2.11	18.8
sda	0	0	74	0	2080	0	40	0.34	4.59	4.59	0	2.43	18
sda	0	0	68	0	2192	0	40	0.27	3.94	3.94	0	2.24	15.2
sda	0	2	77	2	2384	16	40	0.33	4	3.74	14	2.38	18.8
sda	0	0	56	0	2032	0	40	0.2	3.86	3.86	0	2.36	13.2
sda	0	0	78	1	2384	20	40	0.16	1.97	2	0	1.06	8.4
sda	0	0	64	0	1696	0	40	0.27	4.25	4.25	0	2.69	17.2
sda	0	0	64	0	1952	0	40	0.2	3.12	3.12	0	2.12	13.6
sda	0	3	86	2	2432	20	40	0.23	2.64	2.42	12	1.77	15.6
sda	0	0	59	0	2016	0	40	0.17	2.92	2.92	0	1.76	10.4
sda	0	0	62	0	2096	0	40	0.33	5.35	5.35	0	2.58	16
sda	0	0	61	0	2080	0	40	0.42	6.82	6.82	0	2.3	14
sda	0	0	55	0	1984	0	72.15	0.12	2.18	2.18	0	1.67	9.2
sda	0	3	46	2	1152	20	48.83	0.14	2.92	2.61	10	2	9.6
sda	0	0	177	0	5840	0	65.99	1.05	5.92	5.92	0	2.31	40.8
sda	0	2	200	10	5600	60	53.9	0.94	4.48	4.7	0	2.13	44.8
sda	0	0	199	0	6064	0	60.94	1.2	6.01	6.01	0	2.27	45.2
sda	0	0	131	0	4016	0	61.31	0.56	4.31	4.31	0	2.38	31.2
sda	0	4	141	2	4064	24	57.17	0.79	5.45	5.33	14	2.38	34
sda	0	0	122	0	3936	0	64.52	0.77	6.33	6.33	0	2.89	35.2
sda	0	0	171	0	4608	0	53.89	0.94	5.54	5.54	0	1.85	31.6
sda	0	0	98	0	2428	0	49.55	0.45	4.61	4.61	0	2.65	26
sda	0	0	0	0	0	0	0	0	0	0	0	0	0
sda	0	11	135	2	4432	52	65.46	0.92	6.72	6.28	36	2.69	36.8
sda	0	0	101	0	2896	0	57.35	1.27	12.55	12.55	0	3.49	35.2
sda	0	0	120	20	3456	96	50.74	0.36	2.6	3.03	0	1.4	19.6
sda	0	0	145	0	4416	0	60.91	0.61	4.19	4.19	0	2.12	30.8
sda	0	0	93	0	2480	0	53.33	0.26	2.84	2.84	0	1.76	16.4
sda	0	0	133	0	3792	0	57.02	0.45	3.4	3.4	0	1.98	26.4
sda	0	5	107	2	2992	28	55.41	0.83	7.56	7.21	26	3.05	33.2
sda	0	0	89	0	2944	0	66.16	0.38	4.31	4.31	0	2.02	18
sda	0	0	109	0	3408	0	62.53	0.55	5.03	5.03	0	2.53	27.6
sda	0	0	65	0	1520	0	46.77	0.19	2.89	2.89	0	1.72	11.2
sda	0	0	79	0	2608	0	66.03	0.27	3.44	3.44	0	1.92	15.2
sda	0	2	102	2	3472	16	67.08	0.4	3.81	3.61	14	2.31	24
sda	0	0	104	0	3760	0	72.31	0.35	3.38	3.38	0	1.58	16.4
sda	0	0	64	0	1936	0	60.5	0.2	2.88	2.88	0	1.62	10.4
sda	0	0	66	0	1680	0	50.91	0.22	3.45	3.45	0	2.12	14
